Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011368 | lrm: 1.00 | dt: 1259ms | tok/sec: 104,135 | mfu: 2.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.155124 | lrm: 1.00 | dt: 1096ms | tok/sec: 119,613 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.077162 | lrm: 1.00 | dt: 1095ms | tok/sec: 119,730 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.776275 | lrm: 1.00 | dt: 1428ms | tok/sec: 91,803 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.465982 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,437 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.158645 | lrm: 1.00 | dt: 1113ms | tok/sec: 117,793 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.933549 | lrm: 1.00 | dt: 1069ms | tok/sec: 122,631 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.716177 | lrm: 1.00 | dt: 1107ms | tok/sec: 118,375 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.506276 | lrm: 1.00 | dt: 1071ms | tok/sec: 122,420 | mfu: 3.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.308261 | lrm: 1.00 | dt: 1121ms | tok/sec: 116,959 | mfu: 2.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.120604 | lrm: 1.00 | dt: 1097ms | tok/sec: 119,485 | mfu: 2.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.968511 | lrm: 1.00 | dt: 1098ms | tok/sec: 119,387 | mfu: 2.9% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 6.842667 | lrm: 1.00 | dt: 1102ms | tok/sec: 118,912 | mfu: 2.9% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 6.719059 | lrm: 1.00 | dt: 1120ms | tok/sec: 117,044 | mfu: 2.8% | epoch: 1 | remaining: 297s    
step 00154 (53.0%) | loss: 3.771593 | lrm: 0.94 | dt: 1100ms | tok/sec: 119,133 | mfu: 2.9% | epoch: 1 | remaining: 140s    
step 00155 (53.4%) | loss: 3.757406 | lrm: 0.93 | dt: 1138ms | tok/sec: 115,204 | mfu: 2.8% | epoch: 1 | remaining: 139s    
step 00156 (53.8%) | loss: 3.756125 | lrm: 0.92 | dt: 1112ms | tok/sec: 117,921 | mfu: 2.8% | epoch: 1 | remaining: 138s    
step 00157 (54.1%) | loss: 3.748580 | lrm: 0.92 | dt: 1177ms | tok/sec: 111,325 | mfu: 2.7% | epoch: 1 | remaining: 136s    
step 00158 (54.5%) | loss: 3.753402 | lrm: 0.91 | dt: 1139ms | tok/sec: 115,035 | mfu: 2.8% | epoch: 1 | remaining: 135s    
step 00159 (54.9%) | loss: 3.752034 | lrm: 0.90 | dt: 1120ms | tok/sec: 117,036 | mfu: 2.8% | epoch: 1 | remaining: 134s    
step 00160 (55.3%) | loss: 3.745775 | lrm: 0.89 | dt: 1101ms | tok/sec: 118,995 | mfu: 2.9% | epoch: 1 | remaining: 133s    
step 00161 (55.7%) | loss: 3.731763 | lrm: 0.89 | dt: 1107ms | tok/sec: 118,370 | mfu: 2.9% | epoch: 1 | remaining: 132s    
step 00162 (56.0%) | loss: 3.709498 | lrm: 0.88 | dt: 1166ms | tok/sec: 112,415 | mfu: 2.7% | epoch: 1 | remaining: 131s    
step 00163 (56.4%) | loss: 3.706520 | lrm: 0.87 | dt: 1098ms | tok/sec: 119,425 | mfu: 2.9% | epoch: 1 | remaining: 130s    
step 00164 (56.8%) | loss: 3.686376 | lrm: 0.86 | dt: 1276ms | tok/sec: 102,719 | mfu: 2.5% | epoch: 1 | remaining: 128s    
step 00165 (57.2%) | loss: 3.692517 | lrm: 0.86 | dt: 1253ms | tok/sec: 104,578 | mfu: 2.5% | epoch: 1 | remaining: 127s    
step 00166 (57.6%) | loss: 3.694748 | lrm: 0.85 | dt: 1159ms | tok/sec: 113,067 | mfu: 2.7% | epoch: 1 | remaining: 126s    
step 00167 (58.0%) | loss: 3.689771 | lrm: 0.84 | dt: 1320ms | tok/sec: 99,298 | mfu: 2.4% | epoch: 1 | remaining: 125s    
step 00168 (58.4%) | loss: 3.699171 | lrm: 0.83 | dt: 1118ms | tok/sec: 117,272 | mfu: 2.8% | epoch: 1 | remaining: 124s    
step 00169 (58.8%) | loss: 3.694905 | lrm: 0.82 | dt: 1271ms | tok/sec: 103,134 | mfu: 2.5% | epoch: 1 | remaining: 122s    
step 00170 (59.2%) | loss: 3.687580 | lrm: 0.82 | dt: 1305ms | tok/sec: 100,435 | mfu: 2.4% | epoch: 1 | remaining: 121s    
step 00171 (59.7%) | loss: 3.681467 | lrm: 0.81 | dt: 1107ms | tok/sec: 118,367 | mfu: 2.9% | epoch: 1 | remaining: 120s    
step 00172 (60.0%) | loss: 3.662878 | lrm: 0.80 | dt: 1129ms | tok/sec: 116,046 | mfu: 2.8% | epoch: 1 | remaining: 119s    
step 00173 (60.4%) | loss: 3.680711 | lrm: 0.79 | dt: 1173ms | tok/sec: 111,729 | mfu: 2.7% | epoch: 1 | remaining: 118s    
step 00174 (60.8%) | loss: 3.672348 | lrm: 0.78 | dt: 1109ms | tok/sec: 118,221 | mfu: 2.9% | epoch: 1 | remaining: 116s    
step 00175 (61.2%) | loss: 3.670065 | lrm: 0.78 | dt: 1170ms | tok/sec: 111,996 | mfu: 2.7% | epoch: 1 | remaining: 115s    
step 00176 (61.6%) | loss: 3.690210 | lrm: 0.77 | dt: 1127ms | tok/sec: 116,351 | mfu: 2.8% | epoch: 1 | remaining: 114s    
step 00177 (62.0%) | loss: 3.694430 | lrm: 0.76 | dt: 1106ms | tok/sec: 118,559 | mfu: 2.9% | epoch: 1 | remaining: 113s    
step 00178 (62.3%) | loss: 3.701043 | lrm: 0.75 | dt: 1112ms | tok/sec: 117,913 | mfu: 2.8% | epoch: 1 | remaining: 112s    
step 00179 (62.7%) | loss: 3.690241 | lrm: 0.75 | dt: 1342ms | tok/sec: 97,674 | mfu: 2.4% | epoch: 1 | remaining: 111s    
step 00180 (63.1%) | loss: 3.678717 | lrm: 0.74 | dt: 1211ms | tok/sec: 108,275 | mfu: 2.6% | epoch: 1 | remaining: 109s    
step 00181 (63.5%) | loss: 3.675460 | lrm: 0.73 | dt: 1114ms | tok/sec: 117,672 | mfu: 2.8% | epoch: 1 | remaining: 108s    
step 00182 (63.9%) | loss: 3.665073 | lrm: 0.72 | dt: 1162ms | tok/sec: 112,806 | mfu: 2.7% | epoch: 1 | remaining: 107s    
step 00183 (64.3%) | loss: 3.695636 | lrm: 0.71 | dt: 1181ms | tok/sec: 110,954 | mfu: 2.7% | epoch: 1 | remaining: 106s    
step 00184 (64.7%) | loss: 3.678998 | lrm: 0.71 | dt: 1106ms | tok/sec: 118,520 | mfu: 2.9% | epoch: 1 | remaining: 105s    
step 00185 (65.1%) | loss: 3.678750 | lrm: 0.70 | dt: 1108ms | tok/sec: 118,294 | mfu: 2.9% | epoch: 1 | remaining: 104s    
step 00186 (65.4%) | loss: 3.661525 | lrm: 0.69 | dt: 1138ms | tok/sec: 115,135 | mfu: 2.8% | epoch: 1 | remaining: 103s    
step 00187 (65.8%) | loss: 3.657620 | lrm: 0.68 | dt: 1151ms | tok/sec: 113,843 | mfu: 2.8% | epoch: 1 | remaining: 101s    
step 00188 (66.2%) | loss: 3.651923 | lrm: 0.68 | dt: 1109ms | tok/sec: 118,221 | mfu: 2.9% | epoch: 1 | remaining: 100s    
step 00189 (66.6%) | loss: 3.643556 | lrm: 0.67 | dt: 1142ms | tok/sec: 114,778 | mfu: 2.8% | epoch: 1 | remaining: 99s    
step 00190 (66.9%) | loss: 3.623601 | lrm: 0.66 | dt: 1191ms | tok/sec: 110,082 | mfu: 2.7% | epoch: 1 | remaining: 98s    
step 00191 (67.3%) | loss: 3.614052 | lrm: 0.65 | dt: 1118ms | tok/sec: 117,270 | mfu: 2.8% | epoch: 1 | remaining: 97s    
step 00192 (67.7%) | loss: 3.598863 | lrm: 0.65 | dt: 1130ms | tok/sec: 115,945 | mfu: 2.8% | epoch: 1 | remaining: 96s    
step 00193 (68.1%) | loss: 3.574583 | lrm: 0.64 | dt: 1174ms | tok/sec: 111,615 | mfu: 2.7% | epoch: 1 | remaining: 95s    
step 00194 (68.5%) | loss: 3.576166 | lrm: 0.63 | dt: 1098ms | tok/sec: 119,385 | mfu: 2.9% | epoch: 1 | remaining: 93s    
step 00195 (68.8%) | loss: 3.602389 | lrm: 0.62 | dt: 1167ms | tok/sec: 112,270 | mfu: 2.7% | epoch: 1 | remaining: 92s    
step 00196 (69.2%) | loss: 3.614779 | lrm: 0.62 | dt: 1134ms | tok/sec: 115,553 | mfu: 2.8% | epoch: 1 | remaining: 91s    
step 00197 (69.6%) | loss: 3.603292 | lrm: 0.61 | dt: 1138ms | tok/sec: 115,159 | mfu: 2.8% | epoch: 1 | remaining: 90s    
step 00198 (70.0%) | loss: 3.605986 | lrm: 0.60 | dt: 1104ms | tok/sec: 118,674 | mfu: 2.9% | epoch: 1 | remaining: 89s    
step 00199 (70.4%) | loss: 3.574711 | lrm: 0.59 | dt: 1122ms | tok/sec: 116,782 | mfu: 2.8% | epoch: 1 | remaining: 88s    
step 00200 (70.7%) | loss: 3.562514 | lrm: 0.59 | dt: 1105ms | tok/sec: 118,605 | mfu: 2.9% | epoch: 1 | remaining: 87s    
step 00201 (71.1%) | loss: 3.547221 | lrm: 0.58 | dt: 1118ms | tok/sec: 117,246 | mfu: 2.8% | epoch: 1 | remaining: 86s    
step 00202 (71.5%) | loss: 3.553036 | lrm: 0.57 | dt: 1160ms | tok/sec: 112,981 | mfu: 2.7% | epoch: 1 | remaining: 84s    
step 00203 (71.9%) | loss: 3.558912 | lrm: 0.56 | dt: 1159ms | tok/sec: 113,070 | mfu: 2.7% | epoch: 1 | remaining: 83s    
step 00204 (72.3%) | loss: 3.566182 | lrm: 0.55 | dt: 1085ms | tok/sec: 120,753 | mfu: 2.9% | epoch: 1 | remaining: 82s    
step 00205 (72.6%) | loss: 3.549142 | lrm: 0.55 | dt: 1131ms | tok/sec: 115,899 | mfu: 2.8% | epoch: 1 | remaining: 81s    
step 00206 (73.0%) | loss: 3.534681 | lrm: 0.54 | dt: 1114ms | tok/sec: 117,639 | mfu: 2.8% | epoch: 1 | remaining: 80s    
step 00207 (73.4%) | loss: 3.549145 | lrm: 0.53 | dt: 1101ms | tok/sec: 119,024 | mfu: 2.9% | epoch: 1 | remaining: 79s    
step 00208 (73.7%) | loss: 3.555862 | lrm: 0.53 | dt: 1126ms | tok/sec: 116,433 | mfu: 2.8% | epoch: 1 | remaining: 78s    
step 00209 (74.1%) | loss: 3.550449 | lrm: 0.52 | dt: 1123ms | tok/sec: 116,734 | mfu: 2.8% | epoch: 1 | remaining: 77s    
step 00210 (74.5%) | loss: 3.537329 | lrm: 0.51 | dt: 1269ms | tok/sec: 103,291 | mfu: 2.5% | epoch: 1 | remaining: 75s    
step 00211 (74.9%) | loss: 3.531098 | lrm: 0.50 | dt: 1139ms | tok/sec: 115,079 | mfu: 2.8% | epoch: 1 | remaining: 74s    
step 00212 (75.3%) | loss: 3.527069 | lrm: 0.49 | dt: 1107ms | tok/sec: 118,364 | mfu: 2.9% | epoch: 1 | remaining: 73s    
step 00213 (75.7%) | loss: 3.520287 | lrm: 0.49 | dt: 1075ms | tok/sec: 121,958 | mfu: 2.9% | epoch: 1 | remaining: 72s    
step 00214 (76.0%) | loss: 3.514740 | lrm: 0.48 | dt: 1063ms | tok/sec: 123,251 | mfu: 3.0% | epoch: 1 | remaining: 71s    
step 00215 (76.4%) | loss: 3.533414 | lrm: 0.47 | dt: 1094ms | tok/sec: 119,778 | mfu: 2.9% | epoch: 1 | remaining: 70s    
step 00216 (76.7%) | loss: 3.526569 | lrm: 0.47 | dt: 1069ms | tok/sec: 122,647 | mfu: 3.0% | epoch: 1 | remaining: 69s    
step 00217 (77.1%) | loss: 3.531079 | lrm: 0.46 | dt: 1085ms | tok/sec: 120,770 | mfu: 2.9% | epoch: 1 | remaining: 68s    
step 00218 (77.4%) | loss: 3.521044 | lrm: 0.45 | dt: 1079ms | tok/sec: 121,470 | mfu: 2.9% | epoch: 1 | remaining: 67s    
step 00219 (77.8%) | loss: 3.530888 | lrm: 0.44 | dt: 1133ms | tok/sec: 115,672 | mfu: 2.8% | epoch: 1 | remaining: 65s    
step 00220 (78.2%) | loss: 3.527855 | lrm: 0.44 | dt: 1097ms | tok/sec: 119,501 | mfu: 2.9% | epoch: 1 | remaining: 64s    
step 00221 (78.6%) | loss: 3.528416 | lrm: 0.43 | dt: 1098ms | tok/sec: 119,376 | mfu: 2.9% | epoch: 1 | remaining: 63s    
step 00222 (78.9%) | loss: 3.518444 | lrm: 0.42 | dt: 1105ms | tok/sec: 118,567 | mfu: 2.9% | epoch: 1 | remaining: 62s    
step 00223 (79.3%) | loss: 3.487011 | lrm: 0.41 | dt: 1137ms | tok/sec: 115,228 | mfu: 2.8% | epoch: 1 | remaining: 61s    
step 00224 (79.7%) | loss: 3.467906 | lrm: 0.41 | dt: 1085ms | tok/sec: 120,839 | mfu: 2.9% | epoch: 1 | remaining: 60s    
step 00225 (80.0%) | loss: 3.453881 | lrm: 0.40 | dt: 1103ms | tok/sec: 118,795 | mfu: 2.9% | epoch: 1 | remaining: 59s    
step 00226 (80.4%) | loss: 3.439043 | lrm: 0.39 | dt: 1105ms | tok/sec: 118,580 | mfu: 2.9% | epoch: 1 | remaining: 58s    
step 00227 (80.8%) | loss: 3.450250 | lrm: 0.38 | dt: 1128ms | tok/sec: 116,244 | mfu: 2.8% | epoch: 1 | remaining: 57s    
step 00228 (81.1%) | loss: 3.449565 | lrm: 0.38 | dt: 1088ms | tok/sec: 120,485 | mfu: 2.9% | epoch: 1 | remaining: 56s    
step 00229 (81.5%) | loss: 3.471094 | lrm: 0.37 | dt: 1139ms | tok/sec: 115,059 | mfu: 2.8% | epoch: 1 | remaining: 54s    
step 00230 (81.9%) | loss: 3.476798 | lrm: 0.36 | dt: 1216ms | tok/sec: 107,748 | mfu: 2.6% | epoch: 1 | remaining: 53s    
step 00231 (82.3%) | loss: 3.483857 | lrm: 0.35 | dt: 1110ms | tok/sec: 118,088 | mfu: 2.9% | epoch: 1 | remaining: 52s    
step 00232 (82.7%) | loss: 3.472158 | lrm: 0.35 | dt: 1090ms | tok/sec: 120,261 | mfu: 2.9% | epoch: 1 | remaining: 51s    
step 00233 (83.0%) | loss: 3.461768 | lrm: 0.34 | dt: 1126ms | tok/sec: 116,432 | mfu: 2.8% | epoch: 1 | remaining: 50s    
step 00234 (83.4%) | loss: 3.461541 | lrm: 0.33 | dt: 1112ms | tok/sec: 117,887 | mfu: 2.8% | epoch: 1 | remaining: 49s    
step 00235 (83.8%) | loss: 3.458742 | lrm: 0.32 | dt: 1133ms | tok/sec: 115,660 | mfu: 2.8% | epoch: 1 | remaining: 48s    
step 00236 (84.1%) | loss: 3.470551 | lrm: 0.32 | dt: 1117ms | tok/sec: 117,321 | mfu: 2.8% | epoch: 1 | remaining: 46s    
step 00237 (84.5%) | loss: 3.459072 | lrm: 0.31 | dt: 1161ms | tok/sec: 112,925 | mfu: 2.7% | epoch: 1 | remaining: 45s    
step 00238 (84.9%) | loss: 3.476724 | lrm: 0.30 | dt: 1106ms | tok/sec: 118,547 | mfu: 2.9% | epoch: 1 | remaining: 44s    
step 00239 (85.3%) | loss: 3.477906 | lrm: 0.29 | dt: 1105ms | tok/sec: 118,614 | mfu: 2.9% | epoch: 1 | remaining: 43s    
step 00240 (85.6%) | loss: 3.454039 | lrm: 0.29 | dt: 1095ms | tok/sec: 119,658 | mfu: 2.9% | epoch: 1 | remaining: 42s    
step 00241 (86.0%) | loss: 3.446919 | lrm: 0.28 | dt: 1126ms | tok/sec: 116,363 | mfu: 2.8% | epoch: 1 | remaining: 41s    
step 00242 (86.4%) | loss: 3.436387 | lrm: 0.27 | dt: 1099ms | tok/sec: 119,251 | mfu: 2.9% | epoch: 1 | remaining: 40s    
step 00243 (86.7%) | loss: 3.422592 | lrm: 0.27 | dt: 1098ms | tok/sec: 119,405 | mfu: 2.9% | epoch: 1 | remaining: 39s    
step 00244 (87.1%) | loss: 3.405549 | lrm: 0.26 | dt: 1109ms | tok/sec: 118,200 | mfu: 2.9% | epoch: 1 | remaining: 38s    
step 00245 (87.5%) | loss: 3.413317 | lrm: 0.25 | dt: 1103ms | tok/sec: 118,825 | mfu: 2.9% | epoch: 1 | remaining: 36s    
step 00246 (87.8%) | loss: 3.412894 | lrm: 0.24 | dt: 1075ms | tok/sec: 121,914 | mfu: 2.9% | epoch: 1 | remaining: 35s    
step 00247 (88.2%) | loss: 3.413290 | lrm: 0.24 | dt: 1087ms | tok/sec: 120,541 | mfu: 2.9% | epoch: 1 | remaining: 34s    
step 00248 (88.6%) | loss: 3.408716 | lrm: 0.23 | dt: 1091ms | tok/sec: 120,116 | mfu: 2.9% | epoch: 1 | remaining: 33s    
step 00249 (88.9%) | loss: 3.416466 | lrm: 0.22 | dt: 1126ms | tok/sec: 116,403 | mfu: 2.8% | epoch: 1 | remaining: 32s    
step 00250 (89.3%) | loss: 3.414038 | lrm: 0.21 | dt: 1072ms | tok/sec: 122,269 | mfu: 3.0% | epoch: 1 | remaining: 31s    
step 00251 (89.7%) | loss: 3.415806 | lrm: 0.21 | dt: 1106ms | tok/sec: 118,467 | mfu: 2.9% | epoch: 1 | remaining: 30s    
step 00252 (90.0%) | loss: 3.413045 | lrm: 0.20 | dt: 1123ms | tok/sec: 116,668 | mfu: 2.8% | epoch: 1 | remaining: 29s    
step 00253 (90.4%) | loss: 3.413417 | lrm: 0.19 | dt: 1151ms | tok/sec: 113,898 | mfu: 2.8% | epoch: 1 | remaining: 28s    
step 00254 (90.8%) | loss: 3.416966 | lrm: 0.18 | dt: 1106ms | tok/sec: 118,555 | mfu: 2.9% | epoch: 1 | remaining: 27s    
step 00255 (91.2%) | loss: 3.422305 | lrm: 0.18 | dt: 1108ms | tok/sec: 118,306 | mfu: 2.9% | epoch: 1 | remaining: 25s    
step 00256 (91.5%) | loss: 3.413089 | lrm: 0.17 | dt: 1167ms | tok/sec: 112,335 | mfu: 2.7% | epoch: 1 | remaining: 24s    
step 00257 (91.9%) | loss: 3.415965 | lrm: 0.16 | dt: 1130ms | tok/sec: 115,984 | mfu: 2.8% | epoch: 1 | remaining: 23s    
step 00258 (92.3%) | loss: 3.409258 | lrm: 0.15 | dt: 1138ms | tok/sec: 115,222 | mfu: 2.8% | epoch: 1 | remaining: 22s    
step 00259 (92.7%) | loss: 3.424477 | lrm: 0.15 | dt: 1100ms | tok/sec: 119,199 | mfu: 2.9% | epoch: 1 | remaining: 21s    
step 00260 (93.0%) | loss: 3.454488 | lrm: 0.14 | dt: 1127ms | tok/sec: 116,350 | mfu: 2.8% | epoch: 1 | remaining: 20s    
step 00261 (93.4%) | loss: 3.435269 | lrm: 0.13 | dt: 1121ms | tok/sec: 116,941 | mfu: 2.8% | epoch: 1 | remaining: 19s    
step 00262 (93.8%) | loss: 3.419661 | lrm: 0.12 | dt: 1094ms | tok/sec: 119,862 | mfu: 2.9% | epoch: 1 | remaining: 18s    
step 00263 (94.2%) | loss: 3.392882 | lrm: 0.12 | dt: 1164ms | tok/sec: 112,626 | mfu: 2.7% | epoch: 1 | remaining: 16s    
step 00264 (94.5%) | loss: 3.390037 | lrm: 0.11 | dt: 1116ms | tok/sec: 117,475 | mfu: 2.8% | epoch: 1 | remaining: 15s    
step 00265 (94.9%) | loss: 3.389535 | lrm: 0.10 | dt: 1094ms | tok/sec: 119,845 | mfu: 2.9% | epoch: 1 | remaining: 14s    
step 00266 (95.3%) | loss: 3.372854 | lrm: 0.09 | dt: 1090ms | tok/sec: 120,282 | mfu: 2.9% | epoch: 1 | remaining: 13s    
step 00267 (95.6%) | loss: 3.392021 | lrm: 0.09 | dt: 1151ms | tok/sec: 113,851 | mfu: 2.8% | epoch: 1 | remaining: 12s    
step 00268 (96.0%) | loss: 3.367794 | lrm: 0.08 | dt: 1069ms | tok/sec: 122,650 | mfu: 3.0% | epoch: 1 | remaining: 11s    
step 00269 (96.4%) | loss: 3.365984 | lrm: 0.07 | dt: 1117ms | tok/sec: 117,290 | mfu: 2.8% | epoch: 1 | remaining: 10s    
step 00270 (96.8%) | loss: 3.358622 | lrm: 0.06 | dt: 1085ms | tok/sec: 120,834 | mfu: 2.9% | epoch: 1 | remaining: 9s    
step 00271 (97.1%) | loss: 3.370379 | lrm: 0.06 | dt: 1118ms | tok/sec: 117,267 | mfu: 2.8% | epoch: 1 | remaining: 8s    
step 00272 (97.5%) | loss: 3.391294 | lrm: 0.05 | dt: 1102ms | tok/sec: 118,947 | mfu: 2.9% | epoch: 1 | remaining: 6s    
step 00273 (97.9%) | loss: 3.396485 | lrm: 0.04 | dt: 1094ms | tok/sec: 119,852 | mfu: 2.9% | epoch: 1 | remaining: 5s    
step 00274 (98.2%) | loss: 3.415653 | lrm: 0.04 | dt: 1074ms | tok/sec: 122,041 | mfu: 2.9% | epoch: 1 | remaining: 4s    
step 00275 (98.6%) | loss: 3.424835 | lrm: 0.03 | dt: 1095ms | tok/sec: 119,675 | mfu: 2.9% | epoch: 1 | remaining: 3s    
step 00276 (98.9%) | loss: 3.421224 | lrm: 0.02 | dt: 1113ms | tok/sec: 117,767 | mfu: 2.8% | epoch: 1 | remaining: 2s    
step 00277 (99.3%) | loss: 3.424571 | lrm: 0.01 | dt: 1116ms | tok/sec: 117,443 | mfu: 2.8% | epoch: 1 | remaining: 1s    
step 00278 (99.7%) | loss: 3.428343 | lrm: 0.01 | dt: 1062ms | tok/sec: 123,463 | mfu: 3.0% | epoch: 1 | remaining: 0s    
---
val_bpb:          1.206045
training_seconds: 300.1
total_seconds:    360.6
peak_vram_mb:     6217.8
mfu_percent:      2.84
total_tokens_M:   36.6
num_steps:        279
num_params_M:     50.3
depth:            8
